unique_id,ds,Chronos,Moirai,TimesFM-2.5
hotel_7,2023-07-10,0.4169966,0.36481556,0.41405752
hotel_7,2023-07-11,0.45351684,0.34675014,0.4346292
hotel_7,2023-07-12,0.54657257,0.43544644,0.570374
hotel_7,2023-07-13,0.5804236,0.4569567,0.5876235
hotel_7,2023-07-14,0.60306436,0.4371401,0.6479813
hotel_7,2023-07-15,0.5490472,0.41453305,0.55398715
hotel_7,2023-07-16,0.49597943,0.39953938,0.5313035
hotel_7,2023-07-17,0.4091087,0.36706656,0.42248413
hotel_7,2023-07-18,0.43786353,0.3605994,0.44442323
hotel_7,2023-07-19,0.5210728,0.4008577,0.5763855
hotel_7,2023-07-20,0.54907125,0.43520698,0.5915452
hotel_7,2023-07-21,0.56356955,0.40255436,0.6483816
hotel_7,2023-07-22,0.50812,0.4098485,0.5615245
hotel_7,2023-07-23,0.4600098,0.38919643,0.5483404
hotel_7,2023-07-24,0.3777672,0.3437457,0.44229096
hotel_7,2023-07-25,0.41611013,0.3143505,0.46201608
hotel_7,2023-07-26,0.5157391,0.44141856,0.58969325
hotel_7,2023-07-27,0.55667067,0.43035504,0.59620225
hotel_7,2023-07-28,0.5850041,0.4219895,0.65744233
hotel_70,2023-07-01,0.80821806,0.80146027,0.8400036
hotel_70,2023-07-02,0.74515957,0.7678764,0.7223265
hotel_70,2023-07-03,0.7103938,0.7432482,0.7073289
hotel_70,2023-07-04,0.7127445,0.71219873,0.7147627
hotel_70,2023-07-05,0.74480605,0.69211406,0.720549
hotel_70,2023-07-06,0.77143943,0.72169363,0.7377536
hotel_70,2023-07-07,0.79990077,0.75193614,0.79787457
hotel_70,2023-07-08,0.7922471,0.7346161,0.80927014
hotel_70,2023-07-09,0.7349912,0.65555274,0.6996243
hotel_70,2023-07-10,0.71228534,0.68862593,0.69709885
hotel_70,2023-07-11,0.71657115,0.67636585,0.7130867
hotel_70,2023-07-12,0.7326131,0.71103525,0.7117207
hotel_70,2023-07-13,0.74950147,0.6874206,0.72176707
hotel_70,2023-07-14,0.77801174,0.7487061,0.7776464
hotel_70,2023-07-15,0.77060926,0.74699503,0.7876512
hotel_70,2023-07-16,0.70696425,0.6682779,0.68129706
hotel_70,2023-07-17,0.687092,0.6721842,0.68996775
hotel_70,2023-07-18,0.70041007,0.69955,0.71211827
hotel_70,2023-07-19,0.7232382,0.66487,0.7244501
hotel_70,2023-07-20,0.7424432,0.72885543,0.74336874
hotel_70,2023-07-21,0.7810917,0.7431429,0.80112636
hotel_70,2023-07-22,0.78536534,0.7372899,0.80719054
hotel_70,2023-07-23,0.72584134,0.7186915,0.69517946
hotel_70,2023-07-24,0.6945824,0.7424541,0.69008875
hotel_70,2023-07-25,0.69762325,0.72399366,0.71163464
hotel_70,2023-07-26,0.7213172,0.7087165,0.72525203
hotel_70,2023-07-27,0.7384195,0.7203238,0.7476524
hotel_70,2023-07-28,0.76780546,0.73285794,0.8091967
hotel_84,2023-07-01,0.9393595,0.90976727,0.96320057
hotel_84,2023-07-02,0.92820084,0.93336624,0.8703654
hotel_84,2023-07-03,0.92520434,0.9289971,0.8794706
hotel_84,2023-07-04,0.9329866,0.93225193,0.87644374
hotel_84,2023-07-05,0.9428824,0.9318788,0.88570535
hotel_84,2023-07-06,0.95913243,0.92515403,0.8835254
hotel_84,2023-07-07,0.9728101,0.93414974,0.94609606
hotel_84,2023-07-08,0.98035413,0.92874986,1.0031633
hotel_84,2023-07-09,0.9620475,0.93054336,0.896958
hotel_84,2023-07-10,0.94369054,0.93280274,0.89578414
hotel_84,2023-07-11,0.942654,0.93415236,0.9010831
hotel_84,2023-07-12,0.94612765,0.9343504,0.9023794
hotel_84,2023-07-13,0.96012425,0.92041457,0.9071232
hotel_84,2023-07-14,0.96871483,0.93916017,0.95761013
hotel_84,2023-07-15,0.9809567,0.9284691,1.0108255
hotel_84,2023-07-16,0.95849043,0.9071297,0.89200175
hotel_84,2023-07-17,0.9365317,0.910172,0.88374984
hotel_84,2023-07-18,0.9367026,0.9311337,0.888239
hotel_84,2023-07-19,0.9481648,0.94260705,0.89440715
hotel_84,2023-07-20,0.9620567,0.9137352,0.9027144
hotel_84,2023-07-21,0.97656095,0.9453066,0.9443263
hotel_84,2023-07-22,0.98834884,0.93977,0.985747
hotel_84,2023-07-23,0.97043014,0.93766207,0.8748604
hotel_84,2023-07-24,0.9515809,0.94100255,0.8769131
hotel_84,2023-07-25,0.9551296,0.9468515,0.88876545
hotel_84,2023-07-26,0.9634948,0.9237302,0.8973588
hotel_84,2023-07-27,0.98381066,0.9338304,0.90054667
