unique_id,ds,NBEATS,NHITS
hotel_133,2023-06-09,1.0180868,1.0057982
hotel_133,2023-06-10,1.0138084,0.9767979
hotel_133,2023-06-11,0.8613746,0.85911
hotel_133,2023-06-12,0.8987365,0.84272045
hotel_133,2023-06-13,0.9296881,0.9193061
hotel_133,2023-06-14,0.9745453,0.94475037
hotel_133,2023-06-15,0.9954393,0.978626
hotel_133,2023-06-16,1.0321437,1.0085849
hotel_133,2023-06-17,1.0031701,0.9887141
hotel_133,2023-06-18,0.84472185,0.86029476
hotel_133,2023-06-19,0.89568365,0.8436346
hotel_133,2023-06-20,0.9298481,0.9130568
hotel_133,2023-06-21,0.9784785,0.9595828
hotel_133,2023-06-22,0.9860567,0.9805012
hotel_133,2023-06-23,1.0292538,1.018987
hotel_133,2023-06-24,1.0022209,0.9835597
hotel_133,2023-06-25,0.8842192,0.87091357
hotel_133,2023-06-26,0.9034817,0.8626652
hotel_133,2023-06-27,0.93401086,0.9172
hotel_133,2023-06-28,0.9849905,0.9593228
hotel_133,2023-06-29,1.0062702,0.9841545
hotel_133,2023-06-30,1.0239806,1.0143213
hotel_133,2023-07-01,1.0240817,0.9889356
hotel_14,2023-06-04,0.43065616,0.48209083
hotel_14,2023-06-05,0.51128995,0.4890396
hotel_14,2023-06-06,0.60432583,0.57544184
hotel_14,2023-06-07,0.6029681,0.5892262
hotel_14,2023-06-08,0.54148424,0.54726446
hotel_14,2023-06-09,0.63362193,0.63558626
hotel_14,2023-06-10,0.6990343,0.6927077
hotel_14,2023-06-11,0.4314373,0.46723795
hotel_14,2023-06-12,0.48765728,0.47446033
hotel_14,2023-06-13,0.5708005,0.61095476
hotel_14,2023-06-14,0.605417,0.5865154
hotel_14,2023-06-15,0.53679,0.5599097
hotel_14,2023-06-16,0.67241913,0.6475608
hotel_14,2023-06-17,0.7132056,0.6803477
hotel_14,2023-06-18,0.4035383,0.46435192
hotel_14,2023-06-19,0.49318433,0.5013286
hotel_14,2023-06-20,0.5900307,0.6074837
hotel_14,2023-06-21,0.60973954,0.6087785
hotel_14,2023-06-22,0.5579667,0.5677474
hotel_14,2023-06-23,0.67231846,0.6711127
hotel_14,2023-06-24,0.6899915,0.7059956
hotel_14,2023-06-25,0.4359156,0.49020904
hotel_14,2023-06-26,0.50471646,0.51974857
hotel_14,2023-06-27,0.5877044,0.6104411
hotel_14,2023-06-28,0.6003474,0.62296206
hotel_14,2023-06-29,0.5995695,0.5792382
hotel_14,2023-06-30,0.7204427,0.6764781
hotel_14,2023-07-01,0.71753323,0.70286846
hotel_21,2023-06-04,0.9609806,0.9637474
hotel_21,2023-06-05,0.9197689,0.89348185
hotel_21,2023-06-06,0.9307654,0.9204702
hotel_21,2023-06-07,0.95879424,0.96371084
hotel_21,2023-06-08,0.9777602,0.96033645
hotel_21,2023-06-09,0.9888375,0.96151024
hotel_21,2023-06-10,0.9958072,0.98872316
hotel_21,2023-06-11,0.95391184,0.9369874
hotel_21,2023-06-12,0.90880674,0.8701686
hotel_21,2023-06-13,0.92198545,0.91072017
hotel_21,2023-06-14,0.9489475,0.9490964
hotel_21,2023-06-15,0.96921927,0.9470752
hotel_21,2023-06-16,0.98712283,0.9501457
hotel_21,2023-06-17,0.9944299,0.9910085
hotel_21,2023-06-18,0.93747836,0.9340677
hotel_21,2023-06-19,0.9081557,0.8732813
hotel_21,2023-06-20,0.92853385,0.90355706
hotel_21,2023-06-21,0.9610554,0.94328934
hotel_21,2023-06-22,0.96594846,0.9470534
hotel_21,2023-06-23,0.98808736,0.9601678
hotel_21,2023-06-24,0.99257827,0.99765617
hotel_21,2023-06-25,0.956306,0.94497144
hotel_21,2023-06-26,0.9170588,0.89027065
hotel_21,2023-06-27,0.924104,0.9128348
hotel_21,2023-06-28,0.9579572,0.94083965
hotel_21,2023-06-29,0.97665167,0.95244795
hotel_21,2023-06-30,0.9819158,0.95531446
hotel_21,2023-07-01,1.0052953,0.99318606
hotel_35,2023-06-04,0.55318123,0.5631854
hotel_35,2023-06-05,0.61999726,0.61075944
hotel_35,2023-06-06,0.6500696,0.656386
hotel_35,2023-06-07,0.661442,0.6529912
hotel_35,2023-06-08,0.61677855,0.6065402
hotel_35,2023-06-09,0.5945339,0.5735272
hotel_35,2023-06-10,0.5494157,0.5736176
hotel_35,2023-06-11,0.5734558,0.5880251
hotel_35,2023-06-12,0.61045754,0.61634177
hotel_35,2023-06-13,0.671206,0.6773671
hotel_35,2023-06-14,0.66724694,0.654426
hotel_35,2023-06-15,0.639649,0.6066844
hotel_35,2023-06-16,0.59437585,0.5796349
hotel_35,2023-06-17,0.5755532,0.5877301
hotel_35,2023-06-18,0.5670564,0.5866319
hotel_35,2023-06-19,0.6333751,0.63333577
hotel_35,2023-06-20,0.6767257,0.6797888
hotel_35,2023-06-21,0.67493933,0.68049943
hotel_35,2023-06-22,0.6460679,0.62967974
hotel_35,2023-06-23,0.5964397,0.5892521
hotel_35,2023-06-24,0.56999046,0.5899476
hotel_35,2023-06-25,0.5788377,0.6070776
hotel_35,2023-06-26,0.6415329,0.6389441
hotel_35,2023-06-27,0.6674804,0.6886891
hotel_35,2023-06-28,0.6764819,0.67946166
hotel_35,2023-06-29,0.6284291,0.6334241
hotel_35,2023-06-30,0.62528133,0.598971
hotel_35,2023-07-01,0.59828985,0.6128621
hotel_42,2023-06-04,0.42101693,0.46777952
hotel_42,2023-06-05,0.506459,0.48961368
hotel_42,2023-06-06,0.6027733,0.5800001
hotel_42,2023-06-07,0.54413885,0.5883075
